nombre,locale,fuente_ocl,ocl_id,uuid_que_fallo,canonico_concept_id,canonico_clase,canonico_codes,canonico_uuid
Count of acid-fast bacillus (AFB) in sputum,en,laboratorio,5341,2c61cce2-62b5-5799-b3f9-5843fbaf96f1,13821,Test,laboratorio:5341; LOINC:11477-7; PIH:20123; SNOMED CT:275787002; SNOMED CT:275924004,e017d3c8-4b06-455b-b578-fa69d60fa830
Examen de orina,es,laboratorio,280,cea0ead1-3722-405c-88e4-05e3ae1dcd60,7956,Diagnosis,(sin code),dd28ecf4-b428-424d-bf8e-39e6c05c5760
GeneXpert MTB/Rif lab set,en,laboratorio,5332,11f069f8-3b99-54f0-b6d4-8f1b815370b6,13689,LabSet,CIEL:164945,73667878-aece-4dea-8600-4d62d12ca30b
ALBUMINA,es,medicamentos,834,5a86b1c4-aee2-41dc-86b1-926f697a1592,13891,Test,(sin code),531d4215-51c7-49fc-a39a-0364e4211fa4
ATENCION PRECONCEPCIONAL,es,sihsalus,3763,0ec619af-5534-4c37-b30f-d7575fb05ad1,1232,Diagnosis,(sin code),881f2f2f-1eaa-4896-8cea-d7453b0e462e
Aborto retenido,es,sihsalus,45,670c9f58-338c-408d-b11a-6e68fe6fa9ce,708,Diagnosis,(sin code),d4cc3c34-6716-409c-833b-4b64c1d86a7a
Aborto séptico,es,sihsalus,42,3f83a57c-2fc5-4bac-8660-86c993f0f894,679,Diagnosis,(sin code),b6dd01e4-bdb0-44b8-bb03-bd5337a7eea3
Administración de Vitamina k,es,sihsalus,2750,5da8b9b1-f566-411f-b50b-f634ed6321c0,8514,Diagnosis,(sin code),b696bb6f-dfe4-4a05-8309-3864d2d015f5
Alergia a Medicamentos,es,sihsalus,4159,42d3e5df-b453-415e-a80a-451898059b45,84,Diagnosis,SIHSALUS:4491,b296770e-b36b-4696-b19c-8517f48924d4
Aplicación de sellantes,es,sihsalus,1600,067c3229-cef7-444a-8202-9d6910f2c3dd,1152,Diagnosis,(sin code),636dfd5d-3dc3-4af0-846f-01f88161ba9b
Año,es,sihsalus,5176,28e71930-51ef-4455-ad9b-4b0e32febb25,29568,Misc,SIHSALUS:FORM_NEWBORN_ANUS,a6d87a4d-00a2-406e-8162-aaf9a4b4ebc8
Bilirrubina Directa,es,sihsalus,2455,91cda2f0-87b8-44bd-920d-3192cc093821,13747,Test,AMPATH:1297; IMO ProcedureIT:922977; LOINC:1968-7; PIH:3641; SNOMED CT:54462003,03376f04-8e56-4385-818c-326bd2400478
Bilirrubina Indirecta,es,sihsalus,2456,69210923-7ff9-45e2-a4bc-4211e30730b1,13746,Test,CIEL:163001; LOINC:14630-8; SNOMED CT:37852002,88605444-0c75-4c6e-9383-43dd9d2a46ac
Bilirrubina Total,es,sihsalus,2454,534fbb53-e635-4157-88ef-4e93a0969378,13754,Test,AMPATH:655; IMO ProcedureIT:35327185; LOINC:14631-6; SNOMED CT:166610007,505cba12-346d-45e6-894b-3b90538fb052
CONSEJERIA,es,sihsalus,3750,16c85fe3-adc0-4594-8a3d-9fe09e8d4265,1326,Diagnosis,(sin code),f2559d02-a6b8-4df5-a8bb-2af99aa317be
Cardiac insufficiency,en,sihsalus,599,c1f00f1c-d068-57dc-8639-cb93e9067563,28340,Diagnosis,ICD-10-WHO:I50.0; IMO ProblemIT:69369; SIHSALUS:599; SNOMED CT:84114007,d2ccbf21-dc4f-412a-a802-9bea6b44fa74
Cardiopatia,es,sihsalus,5130,69938a84-6573-4b27-8cf9-c9024faed002,30844,Diagnosis,AMPATH:6237; ICD-10-WHO:I51.9; ICD-11-WHO:BC4Z; IMO ProblemIT:45639; PIH:3305; SNOMED CT:56265001,86ab04ff-8a6a-4c2d-8735-df64796e87e3
Cirugía,es,sihsalus,292,1825a78b-557d-42b8-829f-798aa45a1eb2,28288,Misc,(sin code),fba05733-88f9-459c-acd4-b4e844c24bb7
Curación,es,sihsalus,1601,2fea6ec3-7438-4646-a446-7eb2f92b5e56,1236,Diagnosis,(sin code),3a965c9f-370e-45f0-abc0-43e503380d9a
Dengue,es,sihsalus,500,0418354f-87fb-4a70-b484-0a2f3d6d33c1,6728,Diagnosis,(sin code),41cb3fbf-f50c-4d7d-87bc-1b5dd963f8d0
Desconocido,es,sihsalus,4798,96b73231-84e5-4567-97b8-4713f559d9f0,62,Misc,(sin code),f08a86b6-b19d-44cb-a3c4-b5b784eb9c55
Desnutricion Proteicocalorica Leve,es,sihsalus,3378,89f476de-173c-422a-ad21-510aeb06550f,13361,Diagnosis,(sin code),b25e7c39-705f-4ed1-957a-e4350a8afaa3
Desnutricion Proteicocalorica Moderada,es,sihsalus,3379,b0caf875-3ca1-409f-826d-9084c460dfdb,13375,Diagnosis,(sin code),978e6c89-a661-42b5-8f72-227b2db99f22
Diagnostico,es,sihsalus,4927,6080231e-f27e-4ee6-93ba-ea2ca0bf2906,29648,Diagnosis,SIHSALUS:FORM_OBSTETRIC_DIAGNOSES_TEXT,c093c0ec-d1fd-406f-8c65-eeb079665853
ESSALUD,es,sihsalus,3047,f38b048f-ee8b-4244-b3eb-a47a34c38f04,13694,Test,(sin code),af799b5e-313c-4352-80c4-5007dcd42f29
Ecografía,es,sihsalus,2477,78cbb6e1-109a-4d25-b02a-4f023d2b8832,28504,Misc,(sin code),d6855e3a-b843-4ca3-ab7d-fac01bc297a4
Edad Gestacional,es,sihsalus,1650,eb7f0ab5-600f-44b3-9e5f-f721dae6edf8,28545,Question,LOINC:11884-4; SNOMED CT:57036006,0f053bc0-1cc4-4114-a08e-f31d18012e0b
Examen Físico,es,sihsalus,1713,ff556e5e-1075-4a65-8fe1-d02301306768,29177,Finding,(sin code),2d83b0ce-cd5e-4431-a235-de9674319037
Examen de Pezón,es,sihsalus,1603,c82119f0-69f3-4a33-bd0e-cd43e28bac9a,29426,Finding,(sin code),3c64d70b-29d8-4a4d-bc44-b1b023e81132
Exámenes Complementarios,es,sihsalus,4771,9173a5a7-71ff-42f2-ada0-a6be6bcff531,27755,Misc,SIHSALUS:5285; SIHSALUS:FORM_EPICRISIS_COMPLEMENTARY_EXAMS; SNOMED CT:70801007,c21bb6b0-83eb-4ab8-92b1-d8a4b501b320
FALLECIDO,es,sihsalus,3144,fc0782be-fbba-483b-9767-21aae0d7af54,28303,Diagnosis,ICD-10-WHO:O60.0; IMO ProblemIT:84249; SIHSALUS:5259; SNOMED CT:199049003,1b3c9822-74ee-4ce5-a3b3-bac03ca44df5
Fecha de Ingreso,es,sihsalus,2532,842b0f9b-7b08-4094-8bbc-802a181b4b98,13714,Test,(sin code),f2178dcd-ee4e-4b2a-a4b2-dd857b6c96aa
Gota gruesa,es,sihsalus,2612,44124fdc-821d-43cb-a2c4-272a9078b6ae,13763,Test,CIEL:1366; LOINC:51587-4; SNOMED CT:12845003; SNOMED MVP:13661000105007,450efcc9-ddcd-4ecd-b999-e585ccb583eb
Hipotensión Ortostática,es,sihsalus,1670,f3103298-4f84-4f05-b838-2f571d59c1f9,3210,Diagnosis,(sin code),b0169e03-82e0-4d44-af5d-5920048e873d
MAMOGRAFÍA,es,sihsalus,3901,34832355-7e58-4fde-90b2-6211e36dd94e,7995,Diagnosis,(sin code),9abe9631-b29e-4687-ac66-d0e02a2dcb3f
No,es,sihsalus,691,5b2a0f81-22df-4ee1-ae2e-3c547cd7ec9f,2,Misc,(sin code),488b58ff-64f5-4f8a-8979-fa79940b1594
OBSTETRICIA,es,sihsalus,3828,07fc745c-7556-4b40-a193-f0d5aba395bb,27526,Misc,SNOMED CT:408470005,1703c166-e5b2-4c22-8cad-f5e2ca878155
OBSTETRIZ,es,sihsalus,3955,bb65927e-bcf6-4c2e-9bd7-d61a00b240fa,27920,Finding,org.openmrs.module.emrapi:Diagnosis Certainty; SIHSALUS:5266; SNOMED CT:106230009,abd1096a-2c43-4c74-a41c-3e5938e71b83
Pediatría,es,sihsalus,596,3be31163-313b-46eb-af44-5f615ff4bf3d,28105,Misc,(sin code),0902d11c-4db9-48e3-9130-c2a107d4c523
Planificación Familiar,es,sihsalus,2483,0990c088-3bee-4caa-8219-25b272c80324,28229,Misc,(sin code),de908063-228c-43ea-888c-9f437e5794ba
Profilaxis ocular,es,sihsalus,1909,10c23f60-3310-4674-9e2e-bc3aa9aecced,8516,Diagnosis,(sin code),4868c047-6eb3-4ed0-bfdd-3dde303a0e0c
